"","qname","p","W","d","d_low","d_high","mean_c","ci_c_low","ci_c_high","mean_h","ci_h_low","ci_h_high"
"W","pre_1",0.497772921777276,144.5,0.0975233931820243,-0.626371602531728,0.821418388895777,1.76,1.35,2.47,1.87,1.47,2.36
"W1","pre_3",0.137520547578365,166.5,0.503742806858498,-0.231064286591342,1.23854990030834,3.29,2.41,3.99,4.13,3.2,4.73
"W2","pre_4",0.572284666877699,142.5,0.0928411358113065,-0.631013736739381,0.816696008361994,3.53,2.84,4,3.67,2.78,4.33
"W3","pre_5",0.221569097083255,155,0.250033235596209,-0.476243812491499,0.976310283683917,1.35,1.06,1.82,1.53,1.2,1.8
"W4","pre_6",0.779301120219935,134.5,0.0676337438161295,-0.656039009633063,0.791306497265322,1.82,1.41,2.12,1.87,1.53,2.07
"W5","pre_7",0.592256083900037,115,-0.24303211608826,-0.969154270616238,0.483090038439717,1.47,1.18,1.76,1.33,1.07,1.53
"W6","pre_8",0.659847122047591,139,0.171382249175378,-0.553406209138582,0.896170707489338,3.88,3.18,4.29,4.07,3.33,4.47
"W7","post_1",0.96744517845944,129,0.0192222405426873,-0.704261156367635,0.74270563745301,4.65,4.03,5,4.67,3.93,4.93
"W8","post_2",0.000124791393868301,228,1.88068939335317,1.01240961390576,2.74896917280058,2.24,1.71,2.65,4.53,3.8,5.13
"W9","post_3",0.000232664540313601,223.5,1.70599560995929,0.861557253743659,2.55043396617491,2.59,1.94,3.12,4.6,4.07,5
"W10","post_4",0.00034304949872452,220.5,1.60191258811423,0.770866070791004,2.43295910543746,2.35,1.76,3,4.27,3.73,4.73
"W11","post_5",1.98067658392781e-06,250.5,3.09778286834478,2.02596579292645,4.16959994376312,2.35,1.89,2.76,4.93,4.6,5.13
"W12","post_6",0.000164329244503642,226,1.73773348965633,0.889088101238454,2.5863788780742,2.18,1.71,2.76,4.27,3.53,4.8
"W13","post_7",1.11355882109708e-06,253.5,3.66484569854094,2.48217589393801,4.84751550314387,1.88,1.53,2.12,4.27,3.9,4.47
"W14","post_8",9.27601912531553e-05,227,1.6724109267283,0.832362250688134,2.51245960276847,3.76,3.12,4.18,5.33,5,5.53
